linea,sentido,tipodia,trayecto,tr_optimo,tr_minimo,tr_maximo,nodo_1,ultimo
109,1,Habil,1430,00:49:45,00:46:30,01:14:30,Alcalá C - 2 ó 5,Portal Eldorado T-3B
110,1,Habil,1434,00:57:45,00:53:30,01:32:49,Portal Eldorado T-4,Portal Usme T2A
110,2,Habil,1434,00:05:30,00:05:00,00:50:00,Portal Usme T2A,Portal Eldorado T-4
111,1,Habil,1414,00:09:45,00:09:15,00:46:30,Portal Américas T4,Museo Nacional A - 3 ó 6
111,2,Habil,1414,0:42:33,0:40:25,0:59:49,Museo Nacional A - 3 ó 6,Portal Américas T4
112,1,Habil,931,00:40:00,00:38:00,01:02:45,San Mateo C - 2 ó 5,CAD B - 2 ó 5
112,1,Habil,1039,00:22:30,00:21:00,00:45:30,San Mateo C - 2 ó 5,Portal Eldorado T-1
112,2,Habil,931,00:36:35,00:35:26,00:52:48,CAD B - 2 ó 5,San Mateo C - 2 ó 5
112,2,Habil,1013,00:03:17,00:03:07,00:27:22,Portal Eldorado T-1,San Mateo C - 2 ó 5
112,2,Habil,1039,00:10:05,00:09:44,00:39:16,Portal Eldorado T-1,San Mateo C - 2 ó 5
132,1,Habil,1378,01:02:45,00:59:15,01:09:30,Portal Usme T2B,Escuela Militar A - 4 ó 6
134,1,Habil,1404,00:15:15,00:13:45,00:20:00,Portal Sur T4,San Mateo A - 1
134,2,Habil,1404,00:16:45,00:14:45,00:20:30,San Mateo A - 1,Portal Sur T4
203,1,Habil,1457,0:40:40,0:36:45,0:51:35,Portal Sur T9,Museo Nacional A - 2 ó 5
203,2,Habil,1457,0:09:30,0:06:30,0:47:30,Museo Nacional A - 2 ó 5,Portal Sur T9
262,1,Habil,1038,00:05:48,00:05:31,00:24:07,Portal Eldorado T-6B,Universidades B - 2 ó 5
262,2,Habil,1038,00:25:52,00:24:08,00:31:03,Universidades B - 2 ó 5,Portal Eldorado T-6B
263,1,Habil,1072,00:25:40,00:22:47,00:31:21,PORTAL 20 DE JULIO T7,Museo Nacional B - 1 ó 5
263,2,Habil,1072,00:24:21,00:22:26,00:28:35,Museo Nacional B - 1 ó 5,PORTAL 20 DE JULIO T7
264,1,Habil,1505,00:46:42,00:42:42,01:00:51,Portal Usme T6,Concejo de Bogotá A - 4 ó 6
264,2,Habil,1505,00:49:21,00:44:51,01:07:03,Concejo de Bogotá A - 4 ó 6,Portal Usme T6
265,1,Habil,1477,0:53:49,0:51:08,1:04:58,Portal Sur T2,Héroes A - 4 ó 6
265,2,Habil,1477,0:25:59,0:24:15,0:42:00,Héroes A - 4 ó 6,Portal Sur T2
266,1,Habil,1522,00:15:19,00:14:25,00:30:28,Portal Américas T8,Calle 22 B - 4 ó 6
266,2,Habil,1522,00:40:45,00:37:31,01:01:00,Calle 22 B - 4 ó 6,Portal Américas T8
267,1,Habil,1299,00:48:00,00:44:30,01:01:15,Portal 80 T-4,Universidades A - 2 ó 5
267,1,Habil,1300,00:08:30,00:08:00,00:31:45,Universidades B - 4 ó 6,Portal 80 T-4
268,1,Habil,1397,00:50:00,00:47:00,01:06:15,Santa Isabel A - 4 ó 6,Portal Suba T2
268,1,Habil,1506,00:51:00,00:47:45,01:07:00,Portal Suba T2,Santa Isabel A - 2 ó 5
269,1,Habil,1463,0:26:41,0:24:52,0:47:38,Terminal A - 1,Guatoque - Veraguas A - 3 ó 6
269,1,Habil,1464,0:11:14,0:10:19,0:39:51,Guatoque - Veraguas B - 1 ó 5,Terminal A - 4 ó 6
305,1,Habil,1465,0:06:40,0:06:29,1:14:26,San Mateo B - 4 ó 6,Portal Norte T4
305,1,Habil,1466,01:06:49,01:02:04,01:13:04,San Mateo B - 4 ó 6,Alcalá A - 4 ó 6
305,1,Habil,1467,0:10:18,0:09:56,0:55:20,Portal Norte T4,San Mateo B - 2 ó 5
333,1,Habil,1521,1:02:00,0:58:45,1:17:40,PORTAL 20 DE JULIO T4,Portal Suba T7
333,2,Habil,1521,1:01:21,0:58:17,1:15:25,Portal Suba T7,PORTAL 20 DE JULIO T4
334,1,Habil,1454,00:42:30,00:40:00,00:56:15,Bicentenario B - 4 ó 6,San Mateo B - 2 ó 5
334,1,Habil,1455,00:42:30,00:40:15,00:53:45,San Mateo A - 4,Bicentenario C - 2 ó 5
